,Answers
0,"Site plan of area from Dubai Municipality
A letter from the customer
Copy of the trade license of the contractor executing the project
Two photographs of the site before work starts
Graphic Illustration of paving the way Interlock (geometry)"
1,"1. Letter from company
2. Trade licence photocopy 
3. Plate’s insurance document 
4. Approval of NOC authority"
2,"1. Covering letter directed to Traffic Services Manager 
2. Design Plan 
3. Copy of Trade License."
3,"A rise in the price of diesel from 3.92 to 8.92
what are the required documents to apply for renewal of safari learning permit?
1. Clearance case certificate 
2. Original passport and copy 
3. letter from sponsor 
4. letter from Tourist company 
5. Eye test"
4,"Yes. When you fill out the application while purchasing the tag, indicate that you have an existing account. Let us know the account number and the new tag will be added to your existing account.
If you do not receive a SMS from Salik within 10 days of purchase acknowledging that your new tag was registered, you should contact Salik."
5,"If you do not have enough balance in your Salik account and fail to recharge your Salik account within 5 days, you will receive a toll violation of AED 50 each day you pass through a Salik toll gate. To avoid these toll violations, you should always maintain sufficient balance in your account by recharging through one of the various channels available such as the Salik Web site, participating banks or Salik Recharge Cards or e-Voucher."
6,This new tariff became applicable in the 28th of May 2016.  
7,"This service enables the customer to obtain new erection of Signs (temporary / permanent), shifting or removal of signs, and new road marking.
 "
8,"If you pass through the Al Safa and Al Barsha toll gates one after the other, within ONE hour and you do not exit the highway in-between the gates, you will only pay one toll fee."
9,"1. Request letter 
2. Submission of an application 
3. Owner's passport copy in order to change its accounts no. 
4. Notarized assignment and passport copy and accounts no. of assignee in the case of assignment of the fund of the plat no 
5. Descending declaration and heirs pass"
10,"Yes you can and this service enable the customer to request a study for some required works on the roads, complaints, suggestions such as (hatching, reserving parking space, fixing a sign, closing a road for a social event…etc)"
11,"1. Application form 
2. Trade license certificate (hotels: certificate from tourism department) (emergency hospitals: ambulance registrations from police and health authority) 
3. Drawing for location of signs 
4. Photos of location 
5. Design of sign boards 
6. Other: details depends on their work nature"
12,"Emirates Driving Center
Tel. No.: 042631100
Fax No.: 042631268
P.O.Box: Dubai 20948
Website: https://edi-uae.com/en/
Email: edi@emirates.net.ae / edi@edi-uae.com"
13,"Customer calls the section of booking & distributing on 04 2080808, providing the location's details. Booking officer will enter the details in to the system & direct the nearest available taxi to the customer's location.
 "
14,Yes. Any SMS sent by Salik is for added customer service only. All Salik customers are responsible for ensuring that they have their tag registered and have enough funds in their account to pay any toll fees incurred. Customers can check their account balance through the Online Account Option or through the Salik Call Centre or via Kiosks.
15,If your Salik tag gets damaged or lost you will need to buy a new tag and replace it.
16,nol Cards are available at Dubai Metro stations and retail outlets at petrol stations.
17,No. One Traffic File Number can only be on one Salik account and vice versa except if you have a different Traffic File Number for a vehicle registered with another Emirate. In such a case both Traffic File Numbers can be on the same account.
