,Questions,Answers
0,How can I get the Police Clearance Certificate?,For the Police Clearance Certificate visit the blew links:Ministry of Interiorwww.moi.gov.aeAbu Dhabi Policewww.adpolice.gov.aeDubai Policewww.dubaipolice.gov.aeRas Al Khaimah Policewww.rakpolice.gov.ae
1,What’s the difference between old eDirham cards and new ones?,"The second generation of eDirham cards consisted of five cards issued by First Abu Dhabi Bank:Red - Blue - Green - Silver - GoldThe new payment ecosystem consists of three eDirham cards issued by a number of participating banks in the country. For more information, please visit www.edirham.ae. These three cards are:Hala - Signature - Gold"
2,My G card is not accepted by  Ministry of Justice. Why cannot I use G card any longer?,"Ministry of Finance has launched a new generation of eDirham aimed to provide the UAE consumers with improved payment experience. You can get your new eDirham card from a number of participating banks, e.g. CBD, ADIB, FAB. You can find the latest list of participating banks by visiting new eDirham website, www.edirham.ae.Please note that during the transition period you might still need to use your existing G card for other governmental payments. The website has list of where you will be able to use your new and old cards (as per our understanding from the discussions)"
3,Where can I use my new eDirham card?,"Currently you can use your new eDirham card to make payments at participating ministries that have been announced on the Ministry of Finance website and the eDirham website. You can find a full list of the Governmental Entities accepting new eDirham cards by visiting the eDirham website, www.edirham.ae."
4,Where can I use my existing G card?,"The eDirham website and social media channels are being updated with all relevant information on this matter.You can also contact eDirham G contact center on -MOF for a full list of the Governmental Entities accepting G cards] Or visit the new eDirham website, www.edirham.ae, to find the latest list of the Governmental Entities accepting G cards ."
5,How can I get a new eDirham card?,"You can get a new eDirham card by either applying on-line or visiting a branch of one of eDirham participating bank. You can find the latest list of participating banks by visiting new eDirham website, www.edirham.ae."
6,"How can I use the remaining credit in my current eDirham card, or nd generation eDihram card? (Customer will use one of these terms to refer to their nd generation card)","If you will not be using your G card any longer for other governmental services, you can continue to use the available channels to withdraw your funds i.e. FAB ATMs/transfer to your FAB account etc., otherwise you can apply for the new card and transfer the funds to the new eDirham card.For more information, please contact FAB on -MOF () who will be able to provide you with further instructions on how to withdraw funds remaining on your G card."
7,"I would like to make a payment, however, the Governmental Entity doesn’t accept my eDirham card. Why?","The Ministry of Finance has launched a new generation of eDirham aimed to provide the UAE consumers with improved payment experience. These new cards allow customers to choose the bank of their preference from the eDirham website.During this transition period, we urge you to not destroy or discard old eDirham in order for you to be able to use them at entities that have not participated in the new eDirham transition yet.The closure of the old eDirham/nd generation payment system will be announced in national newspapers and on Ministry of Finance and eDirham social media channels.Please visit www.edirhamg.ae or , call on -MOF for a list of all distribution channels or visit FAB branch if you need to get a G card to pay at the Governmental Entities still accepting G cards."
8,I have lost my G card and would like to withdraw the funds remaining on the card. How do I do that?,Please contact -MOF () or reach to FAB branches to provide you with instructions on how to withdraw funds remaining on your G card.
9,"I would like to request a refund of the purchase I made using my G card. However, I lost my G card I used to make a payment. What should I do?","In case of a payment made through the nd generation eDirham payment system, the customer can apply for a refund using this link: https://autorefund.mof.gov.ae/vTransactMerchantPortal/login)In the case of refund of amounts already in the eDirham card, please contact FAB on -MOF () who will be able to provide you with instructions."
10,I am having difficulty paying with my eDirham card online? I am asked to enter One Time Passcode but I’m not sure how to get it. What do I do?,In order to pay with your new eDirham card on-line you need to download and install on your smart phone an eDirham Instant App.Please contact your eDirham card Issuing bank for detailed instructions on how to use your new eDirham card when paying on-line. You can also find more information by visiting a new eDirham website – www.edirham.ae.
11,I tried to make a payment on Ministry of Justice website using my new eDirham card but my session timed-out without me receiving a successful transaction notification. How do I check if the payment was completed and money taken from my eDirham card?,Please contact your eDirham Issuing bank who will be able to check the balance of your eDirham card.
12,I tried to make a payment on Ministry of Justice website using my G card but my session timed-out. How do I check if the payment was completed and money taken from my G card?,"You can check your transaction on edirhamg.ae to view your transaction details as well as your available balance.For further information, Please contact eDirham G contact center on -MOF who will be able to check your current card balance."
13,I tried to make a payment at Ministry of Justice and I can see that my eDirham card was charged twice for the same purchase.,Please contact your eDirham Issuing bank who will assist you.
14,I tried to make a payment at Ministry of Justice and I can see that my G card was charged twice for the same purchase.,"You can check your transaction on edirhamg.ae to view your transaction details as well as your available balance.For further information, Please contact eDirham G contact center on -MOF who will be able to check the balance of your G card."
15,What are the required documents to become an expert?,"University Qualification in the area of specialization, certified, attached to a copy thereof as well as the equation thereof at Ministry of Higher Education.Certificate of practical experience, detailed, authenticated and approved, attached to a copy thereof, in the field ( years for citizen,  years for foreign nationals) after graduation.Good Conduct Certificate (Criminal Record).A copy of identification card (for citizens).A copy of identification card, copy of passport attached to valid residence permit (for foreign nationals).Approving the enrollment on part of the entity for which the applicant work, attached to a copy of signature credential.A copy of document of insurance against liability for professional mistakes on part of a licensed insurance company.Identification Document.A copy of lease, municipality license and membership of Chamber of Commerce (Private Offices).Health Fitness Certificate, issued on part of State’s official health entities.Statement of office’s address, through which the applicant will practice his/ her profession.Receipt of payment of legally prescribed fees.Membership Certificate issued from Accountants and Auditors Association (in pertaining to enrolling accountants).Four recent photographs."
16,How long time it takes to complete the process of enrollment?,days
17,"In case of failing to pass the exam, when the applicant can be re-examined?","The application for enrolling an expert, may be  re-submitted after the lapse of three years at least from the date on  which the first application is rejected. The same applicant may not be  examined more than twice as per Article no. /  on regulating the  profession of experience before judicial authorities."
18,What is the manner of determining test appointment?,"Enrollment applications, fulfilling all requirements and documents  shall be submitted to technical committees in the applicant’s area of  specialization.The Technical Committee shall peruse and consider  enrollment application and all attached documents, to ensure such  documents and application’s conformity with terms and conditions. Then,  the Technical Committee shall determine the test appointment. The  applicants fulfilling all requirements, shall be notified of test  appointment."
19,What is the difference between enrolled expert and non-enrolled expert?,"Enrolled expert is an expert specialized in engineering, banking and accounting only, while the Non-enrolled expert is an expert specialized in any area other than the  aforementioned ones (for instance: Real Estate Expert, Human Resources  Expert, Trademarks Expert, Public Safety & Security Expert,  Standards and Specifications Expert )"
20,Is there any difference between applications and conditions pertaining to non-enrolled experts and applications and conditions pertaining to enrolled experts?,The same terms and conditions shall apply to both enrolled and non-enrolled experts.
21,What are the conditions of renewing the enrollment card of an expert?,"A copy of identification card (for citizens), copy of identification  card, passport and a valid residence permit (for foreign nationals).Good Conduct Certificate (Criminal Record).Enrollment Certificate.Four recent photographs.Registration is approved by the body in which the applicant is employed with a copy of signature approval.Detecting current cases of the expert up to date, indicating the date of receipt.Membership certificate issued from Accountants and Auditors  Association (Only accounting experts are registered particularly).Copy of the contract of insurance against liability for professional  mistakes issued from one of State licensed insurance companies.Health & Wellness Certificate issued from official health agencies in State.Statement of address, place of office through which the expert exercises his work.Copy of the lease, municipal license and Chamber of Commerce membership (private offices).Providing a statement of renewing and developing skills in the specialty field."
22,Is there a specific period hindering the renewal of registration for the expert?,"If the expert delays in renewing the registration, his registration will be cancelled after  days"
23,What is required to file a complaint against the expert?,Filling out a form (A request to file a complaint against the expert) attached by the following items:Detailed memorandum on the complaint filed by the complainant.Copy of final and conclusive judgment issued by the competent court.Copy of the expert's report who has been complained.
24,What are the stages of complaint?,"Experts' Affairs Committee is concerned with considering complaints  relating to any breach of obligations and job tasks by experts.Committee shall notify the expert and his body with any complaint filed  against him to be replied within () fifteen days from the date of the  notification.Committee shall refer the complaint and the  expert's reply to the technical inspector (Experts Department) to  express an opinion on each of the liberated complaint against the expert  and his reply.Complaint shall be submitted to the Committee of  Experts Affairs, together with the expert's reply and the inspector's  report to decide on saving or forwarding it to the investigation.If the expert doesn't reply the complaint after the end of the  specified period ( days), the Committee shall decide the complaint.If the subject of the complaint is related to breaching the work or  honest of expert, the complaint shall be referred to the Committee of  Experts Affairs to take its decision to refer the expert to the public  prosecution to investigate"
25,What are the documents requested to be registered as a trainee lawyer?,"Our client can view all documents requested from the website of the Ministry of Justice www.moj.gov.ae and download the form required to be filled, and then send the request to the Ministry of Justice attached to documents."
26,Why the certificate shall be equivalent from the Ministry of Higher Education if the certificate was issued by an accredited university?,"The equation shall be conducted in accordance with article no.  of Regulating Legal Profession Law No.  of ; provided that whoever registers his name in the table of employed or unemployed lawyers shall be hold a degree in law from one of the universities, institutions of higher education, or an equivalent thereto. Moreover, the equation shall be made if issued from outside the state."
27,"I am a citizen graduate of Islamic Studies, do I, or a graduate of Islamic Law have the right to register as a lawyer?",The graduate of Islamic Studies or Islamic Law shall not be entitled to be registered as a lawyer but required to be a holder of a degree in law or Sharia to be registered as a lawyer.
28,"I am a citizen works as a legal researcher in a local circuit, how many years of expertise required to be registered as a lawyer in the table of the employed layers?","In accordance with article no.  of Regulating Legal Profession Law No.  of , the law graduate citizen, who works in a legal job, after three years shall be entitled to apply in the register of the table of employed lawyers."
29,"I got a theoretical training on the legal profession in Training and Judicial Studies Institute for four months, and because of certain circumstances, I could not complete the training, can I be excluded from the remaining period of such training, which is only two months, knowing that I undertake that I will complete the operational training for six months in one of the law firms?","The Management of Judicial Institute is specialized in  this question, knowing that no lawyer shall be excluded from completing  the training period prescribed in law, which is a full year divided  into (six months for theoretical study in the Institute and six months  for operational training at one of law firms.)"
30,"I received a license to practice law profession issued by the Ministry of Justice, and I opened a law firm in Dubai Emirate and I would like to open another firm in Al Sharjah, so what are the requirements for doing that?","In accordance with article no.  of Regulating Legal  Profession Law No.  of , the lawyer may open another firm in any  Emirate of the State; provided the appointment of a national lawyer in  the new firm."
31,"I have a commercial license and I would like to get a license to practice the legal profession, do I have the right to combine between practicing trade and legal profession?",Both professions may not be combined in accordance with article no.  of Regulating Legal Profession Law No.  of .
32,"I am a professor at the UAE University, and I hold a doctorate in law and I would like to work as a lawyer, do I have the right to do that?",Yes
33,"I am a national lawyer, I have a law firm, and licensed by the Ministry of Justice as an employed lawyer, and I would like to register a Canadian lawyer to plead before the Federal Courts through my firm, knowing that he does not speak the Arabic language fluently, so can I do that?","The official language in the state and courts is the  Arabic language; therefore, those who do not speak the Arabic language  fluently shall not work and plead before the Federal Courts."
34,"As a national lawyer, I would like to register a non-national (Arab) lawyer through my office to work independently in his firm, not mine; can we work independently each in his office?","No, because of violating Regulating Legal Profession  Law that required from the non-national lawyer to practice the  profession through the law firm of a national lawyer registered in the  table of the employed lawyers, which means in the same firm."
35,"I am a national lawyer, I got a job in a local department with an attractive salary, and I left my job as a lawyer and joined the new job, but I did not give a notice to the Ministry of Justice, what should I do?","You should submit a request of a registration transfer  to the unemployed table, the separation between the profession of law  and consulting."
36,How can I as a legal national graduate obtain a license from a legal consulting firm?,"You can open a firm for advocacy and legal consulting, and it could not be separated between advocacy and legal consulting."
