,Questions,Answers
0,What is U.ae?,"U.ae is the official national portal of the UAE Government. It provides information about the UAE, its government system and its services."
1,Who is responsible for developing and operating U.ae?,The Telecommunications and Digital Government Regulatory Authority (TDRA) manages and operates U.ae. You can reach the team through egov@tdra.gov.ae or the contact form.
2,Does your portal utlize the HTTPS for more security?,"Yes, we apply strict security measures to protect the confidentiality and integrity of your personal data when transferring, storing or processing it. One of these security measures is the HTTPs"
3,Does your website has a responsive web design?,"The design of this portal is optimised for different screen sizes such as those of mobile phones, tablets, desktops and TVs."
4,Is the information published on this portal updated?,"Yes, all information published on this portal is up-to-date. You can find the last update date in the footer section."
5,How can I contact this portal?,"You can contact this portal via: 
Phone: 80012
Fax: +97126118229
eMail: egov@tra.gov.ae 
P O Box: 116688 Abu Dhabi, UAE"
6,Is there live chat on this portal?,"Yes, you can chat live with us."
7,Do I need to sign in to use the services provided on this portal?,"You need to sign in to use some services. For signing in, you can use  UAE Pass."
8,Does the portal provide a search feature?,"Yes, it does. You will find it on all the pages at the top right corner."
9,Is there a site map on this portal?,"Yes, the portal provides a site map."
10,Does the portal have a section on help or FAQs?,"Yes, there are help and FAQs sections."
11,Does this portal have accounts on social media?,"Yes, the UAE mGovernment is present on Facebook, Twitter, YouTube and Instagram."
12,Where can I find links to the websites of the local/emirate governments?,You can find links to the websites of the local/emirate governments on the useful links page.
13,What are some of the accessibility features of this portal?,"The design of this portal complies with the Web Content Accessibility Guidelines (WCAG). That means, you can change the font size and colour and the background colour of the portal. Read the accessibility features of this portal."
14,What is this portal's privacy policy?,Read the privacy policy of U.ae.
15,How and where can I leave feedback about the portal?,You will find a set of smiley buttons at the bottom of every content page. Choose one as per the level of usefulness of information on that page. You can also use the 'Contact this portal' page to share feedback.
16,"I need help in understanding how to use the eServices. Is there a guide, a manual or a tutorial?","Government websites in the UAE provide help and tutorials on how to use eServices through service cards, interactive pages and videos. Find guidance and tutorials on using eServices in the UAE."
17,How can I file a complaint about public service?,"You can file a complaint about public service through 171Tawasul, the unified federal customer relationship management (CRM) platform."
18,Are there any online tools to obtain raw (non-deliberative) inputs for policy deliberation?,"Yes, the portal offers online consultations inviting the public to share their opinions on a variety of matters. People share their opinions and this helps the government in deliberating policies."
19,Where can I find the result of consultations with the public?,You can find the result of consultations under the closed consultations section and on the page about crowdsourcing for policy-making.
20,How can I share my opinion and suggestions on U.ae?,Sharik.ae is the official eParticipation portal of the UAE Government which facilitates sharing views and partnering with the government in the decision-making process.
21,What are the different channels through which I can access the government services?,"The services of the UAE Government are accessible through many online and offline channels such as kiosks, banks and typing centres. Read about it on the page about service channels."
22,Can I start and save an eService so that I can continue it later?,"Yes, you can. It is possible to start an eService, save it and finish it later."
23,Where can I find the most used eServices?,You can find a list of the most used eGovernment services on the services A-Z page and the information and services page.
24,What can I find on www.U.ae?,"On U.ae, you can find:


information and services for individuals, visitors, businesses and government provided by the UAE federal and local and government entities
    
an informational section about the UAE’s economy, political and government system, its strategies, plans and initiatives, history and culture
a link to the eParticipation portal (Sharik.ae) which includes: consultations, blogs, forum, ideation, feedback and suggestions, polls, online chat, in addition to the UAE Government entities' social media accounts on: Facebook, Twitter, YouTube and Instagram
a media section which includes latest news and videos about UAE Government
a calendar for events in the UAE
a list of the federal and local government entities a help section which provides you with links to contact this portal and/or the federal and local entities, in addition to a guide on how to handle  emergencies in the UAE and important phone numbers
a rich resources section for important documents and links related to the UAE eGovernment and mGovernment, as well as  media material, terminologies and Wi-Fi hotspots in the UAE
a refined search engine for accurate results.
    
For more clarification on the portal components, you can check this portal’s sitemap, located at the footer."
25,Which browsers work well with U.ae?,"Government.ae works well with Microsoft Internet Explorer 9 +, Firefox 2+, Safari 4+, Opera 6+ and Chrome 5+."
26,Does U.ae display properly on all smart devices and/or mobile phones?,"Yes, the portal is designed to be responsive to a variety of gadgets. "
27,Is registration on the portal required to access its information and services?,"Registration is not mandatory, however a registered user can avail the ‘Single Sign On facility’ where he can access all UAE Government services with one username and password."
28,How can I use the portal for accessing services?,You can browse by topic according to the portal’s sitemap or use the search engine to find the service required.
29,In which languages is the portal accessible?,"The text is written in Arabic and English languages. For more languages, you can use Google Translate located at the top of the web page."
30,Where can I locate the eServices section?,"On the information and services page, under ‘Services A-Z’ you can find all services provided by the UAE Government arranged in alphabetical order. Click on the alphabet with which the name of the service begins. You can search by entity or filter by emirate or segment."
31,Can I register a new company or business online?,"Yes, through Bashr service, you can start a business in the UAE within 15 minutes through a unified online platform. This platform is connected with federal and local government entities, which provide commercial licence services. Read more"
32,Where can I find information about forthcoming procurement/bidding processes?,You can find information about forthcoming procurement/bidding processes on the page about government tendering and awarding
33,Where can I find the results of any government procurement/bidding process online?,Suppliers who are registered in the Ministry of Finance's Supplier’s Federal Register can view approved tenders and auctions and results of government bidding. Read about it on the page about government tendering and awarding.
34,Where can I see forthcoming consultations?,All future consultations are mentioned on the Your Voice and Consultations pages.
35,Can I access justice services through mobile apps or SMS?,"Yes, you can access justice services of the UAE government via mobile apps as well as SMS service. Learn more"
36,Can one report incidents of discrimination?,"Yes, use these channels to report discrimination and violation of human rights."
