,Questions,Answers
0,Where can I submit a grievance against the passport seizure?,You can submit the application at one of the Adheed Centers ( https://aladheed.ae/).
1,Where are the residency cancellation procedures will be completed after cancelling the Labour Card?,"In one of AMER centres, with the need to present the cancellation certificate of the Labor Card."
2,I submitted my resignation to the company and I was notified of my dues and I am not satisfied about them?,You can submit an application in this regard and it will be studied.
3,I have not received my salary for two months?,You can submit an application via the website:https://smart.gdrfad.gov.ae
4,"Can I include an absconding report in personal sponsorship (Wife, children)?",The absconding report cannot be included in personal sponsorship.
5,"Can I appeal against the absconding report, if I am wanted by other authority?",It requires to clear and completion of all the circulars issued in order for the appeal / grievance request against the absconding report to be considered.
6,How can I appeal an absconding report?,You can apply through the official website of the GDRFA https://smart.gdrfad.gov.ae
7,What are the dependent relative residence stamping requirements ?,"Please be informed that the individual's residence stamping requirements are:
• Application form from Amer centres or through the GDRFA Dubai mobile application.
• Emirates ID registration form.
• One photo of the sponsored with white background.
• Sponsored original passport.
• Sponsor`s original passport and Emirates ID.
• Sponsor`s IBAN number.
• Original UAE birth certificate for a new born.A
• Valid colored passport copy of the mother along with residence page.
• Attested tenancy contract with a minimum validity of 60 days.
• Latest electricity and water Bill.
• Arabic salary certificate for the government, semi government and free zone's employees.
• Attested labour contract for private sector`s employees
• The medical check up result.
 Note that the residency renewal fee in the case of an expatriate sponsor for a period of 3 years is 560 AED and for citizen sponsors , 510 AED
 For the stay two years period fees is 460 AED in the case if the sponsor is an expatriate, and if the sponsor is  citizen fees is  410 AED for two years residency 
For the stay of one years period fees is 360 AED in the case if the sponsor is an expatriate, and if the sponsor  is a citizen fees is 310 AED"
8,What are the dependent residence renewal requirements ?,"Please be informed that the individual's residence stamping requirements are:
• Application form from Amer centres or through the GDRFA Dubai mobile application.
• Emirates ID registration form.
• One photo of the sponsored with white background.
• Sponsored original passport.
• Sponsor`s original passport and Emirates ID.
• Sponsor`s IBAN number.
• Original UAE birth certificate for a new born.
• Valid colored passport copy of the mother along with residence page.
• Attested tenancy contract with a minimum validity of 60 days.
• Latest electricity and water Bill.
• Arabic salary certificate for the government, semi government and free zone's employees.
• Attested labour contract for private sector`s employees
• The medical check up result.

Note that the residency renewal fee in the case of an expatriate sponsor for a period of 3 years is 560 AED and for citizen sponsors , 510 AED
 For the stay two years period fees is 460 AED in the case if the sponsor is an expatriate, and if the sponsor is  citizen fees is  410 AED  for two years residency 
For the stay of one years period fees is 360 AED in the case if the sponsor is an expatriate, and if the sponsor  is a citizen fees is 310 AED"
9,What are the residence cancellation procedures?,"Dear Customer, please be informed that the residence cancellation could be inside or outside the country.For inside the country cancellation, the requirements are:
• Application form from Amer centres or through the GDRFA Dubai mobile application.
• Sponsored original passport and original Emirates ID.
• Sponsor`s original passport and original Emirates ID.
•For individuals Fee required is 190 AED + Amer Center Fees.
Company fee is 225 AED
For outside the country cancellation, the requirements are:
• Application form from Amer centres or through the GDRFA Dubai mobile application.
• Sponsored original passport in case the residence is valid and the duration of staying less than six months.
• Original Emirates ID of the sponsored.
• Sponsor`s original passport and original Emirates ID.
• Fee required is 290 AED + Amer Center Fees.
Company fee is 325 AED"
